LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-05-21 12:57:47,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:47,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:47,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:47,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:47,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:47,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:47,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:47,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:47,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,,68:2F:67:8B:B9:B6,-50,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,68:2F:67:8B:B9:B6,-50,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,68:2F:67:8B:B9:B6,-50,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,68:2F:67:8B:B9:B6,-50,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,Hacking,40:EE:15:60:C9:C4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:48,1900-01-00 00:00:00,,14:5A:FC:5D:3C:83,-48,,0.000000,0.000000,0.000,0.000,Client
